track_number,datetime,center_lat,center_lon,total_precip,area,angle_of_movement
19006,2007-07-20 14:30:00,45.954,6.479,310.038,85,51.811
19105,2007-07-21 13:30:00,47.017,7.787,43.998,14,115.306
20384,2007-08-03 01:30:00,46.414,10.026,947.541,282,73.276
20854,2007-08-08 11:30:00,45.662,7.927,1830.134,463,349.028
21670,2007-08-17 11:30:00,47.156,12.811,55.661,24,60.313
21851,2007-08-19 11:30:00,47.299,10.181,72.725,26,169.161
21941,2007-08-20 09:30:00,45.216,7.587,4.377,3,137.412
22275,2007-08-23 17:30:00,48.526,15.945,55.395,34,142.498
22817,2007-08-28 18:30:00,45.799,11.617,440.787,147,84.684
22962,2007-08-30 03:30:00,45.682,8.612,155.696,27,62.724
24938,2007-09-18 11:30:00,45.376,12.349,5110.717,712,53.660
25700,2007-09-26 01:30:00,45.592,12.296,43.297,6,30.001
12316,2008-05-11 11:30:00,46.517,6.146,88.866,38,133.002
12865,2008-05-18 00:30:00,45.337,14.780,1278.710,379,208.815
14105,2008-05-30 11:30:00,46.366,13.294,159.701,35,331.764
14285,2008-06-01 12:30:00,47.471,15.983,4.822,3,300.098
14400,2008-06-02 13:30:00,45.703,14.418,1490.132,533,117.983
15203,2008-06-10 12:30:00,46.786,12.088,79.024,38,314.195
16600,2008-06-24 13:30:00,46.868,11.486,34.728,12,86.458
16801,2008-06-26 13:30:00,46.499,9.224,240.526,64,69.607
17111,2008-06-29 14:30:00,46.108,8.471,121.575,24,221.144
17617,2008-07-04 09:30:00,45.871,15.754,5.671,4,142.280
17842,2008-07-06 14:30:00,47.709,11.718,3948.798,844,64.515
18456,2008-07-12 14:30:00,48.387,13.813,992.314,177,54.727
18527,2008-07-13 09:30:00,48.623,12.230,117.029,77,35.964
18541,2008-07-13 12:30:00,47.745,14.769,1574.761,505,40.922
18562,2008-07-13 15:30:00,47.313,9.979,8.702,6,202.377
18593,2008-07-13 21:30:00,46.048,13.811,192.659,73,39.317
19930,2008-07-26 12:30:00,45.162,6.566,284.899,101,329.408
20232,2008-07-29 14:30:00,45.975,11.299,28.061,15,27.341
20320,2008-07-30 10:30:00,46.819,6.728,18.150,4,23.126
20529,2008-08-01 12:30:00,46.913,8.482,46.747,18,84.658
21156,2008-08-08 05:30:00,46.852,13.419,261.810,71,92.521
21885,2008-08-15 07:30:00,47.889,11.095,2418.754,865,153.233
21904,2008-08-15 12:30:00,48.046,14.391,3610.028,1004,116.110
22708,2008-08-23 09:30:00,46.413,13.875,19.651,8,283.662
24704,2008-09-12 07:30:00,45.407,9.110,141.483,30,47.168
12218,2009-05-10 21:30:00,48.579,8.811,3.709,3,24.192
12502,2009-05-13 16:30:00,48.298,5.702,2065.456,577,112.859
13333,2009-05-21 14:30:00,48.798,10.387,393.711,179,109.545
14773,2009-06-06 05:30:00,46.437,8.560,485.896,139,26.839
14793,2009-06-06 11:30:00,45.563,6.197,45.024,16,0.505
15215,2009-06-11 10:30:00,47.710,14.315,889.075,280,55.519
16073,2009-06-19 14:30:00,46.827,11.919,1047.539,222,66.777
17510,2009-07-03 09:30:00,48.848,9.854,92.290,29,288.351
17760,2009-07-05 17:30:00,45.168,7.605,713.069,151,85.998
17910,2009-07-07 02:30:00,45.820,9.126,108.849,50,128.899
17936,2009-07-07 09:30:00,46.436,13.588,14.306,4,221.163
17992,2009-07-07 23:30:00,46.028,13.800,1083.443,236,88.139
18675,2009-07-15 12:30:00,47.531,13.173,174.576,56,63.236
18867,2009-07-17 14:30:00,47.108,8.634,881.200,373,36.144
18902,2009-07-17 22:30:00,46.512,11.748,104.193,34,40.326
19577,2009-07-24 17:30:00,48.850,10.998,2.204,2,140.981
20127,2009-07-30 14:30:00,47.293,13.678,192.330,63,128.786
