track_number,datetime,center_lat,center_lon,total_precip,area,angle_of_movement
21839,2007-08-19 10:30:00,42.471,3.119,60.011,33,167.070
22007,2007-08-21 01:30:00,40.130,1.841,57.260,13,89.456
24496,2007-09-13 22:30:00,40.727,1.491,86.725,31,219.856
12055,2008-05-08 18:30:00,43.263,-4.556,3530.364,648,12.113
12960,2008-05-18 22:30:00,40.348,1.211,36.784,22,157.438
13539,2008-05-24 15:30:00,42.564,-0.737,1201.893,247,45.626
14154,2008-05-30 22:30:00,42.503,-2.740,227.122,121,70.115
14209,2008-05-31 11:30:00,40.904,-2.484,85.085,21,13.357
14220,2008-05-31 15:30:00,41.596,0.449,2052.188,795,336.808
15196,2008-06-10 11:30:00,45.334,2.210,214.448,60,267.365
16300,2008-06-21 21:30:00,44.557,-1.581,358.349,89,37.985
16482,2008-06-23 14:30:00,42.172,-3.332,60.421,36,231.851
16844,2008-06-26 21:30:00,42.597,1.303,206.807,37,58.154
17323,2008-07-01 13:30:00,42.641,2.037,17.368,14,287.269
17795,2008-07-06 03:30:00,45.393,3.467,622.273,191,56.270
20143,2008-07-28 15:30:00,44.147,1.664,178.103,74,50.503
20326,2008-07-30 12:30:00,45.772,3.141,225.224,54,67.765
22611,2008-08-22 14:30:00,41.314,-3.269,13.550,11,80.465
24452,2008-09-09 12:30:00,41.463,-3.155,216.449,51,345.242
25249,2008-09-18 07:30:00,45.109,0.471,74.650,35,95.015
25241,2008-09-18 14:30:00,41.033,-0.156,90.487,64,72.365
11886,2009-05-07 18:30:00,46.385,4.815,838.979,279,322.081
11922,2009-05-08 04:30:00,41.871,2.033,30.054,15,15.639
12505,2009-05-13 17:30:00,43.289,-1.763,292.818,69,57.340
13313,2009-05-21 09:30:00,47.782,3.575,711.942,218,52.685
13676,2009-05-25 12:30:00,49.114,-0.387,34.689,9,23.872
13689,2009-05-25 16:30:00,45.027,1.516,816.277,180,14.194
16681,2009-06-25 12:30:00,47.520,0.618,7.179,4,7.922
18540,2009-07-13 19:30:00,48.524,4.611,154.502,44,75.926
20874,2009-08-08 09:30:00,41.150,0.350,1.131,1,15.034
22541,2009-08-25 10:30:00,41.258,0.989,22.633,13,110.453
22590,2009-08-25 23:30:00,40.482,1.849,144.418,36,75.362
23286,2009-09-01 14:30:00,40.991,-0.160,35.708,19,28.984
