track_number,datetime,center_lat,center_lon,total_precip,area,angle_of_movement
25142,2005-09-30 13:30:00,46.592,20.746,55.121,37,198.784
11632,2006-05-13 12:30:00,54.018,17.786,3.796,3,210.149
11963,2006-05-16 15:30:00,50.266,17.212,1603.172,350,89.195
12357,2006-05-20 13:30:00,47.299,26.475,326.177,158,39.575
12379,2006-05-20 19:30:00,54.528,15.778,1956.725,922,24.896
12763,2006-05-24 15:30:00,50.438,28.797,53.321,17,82.929
13653,2006-06-02 13:30:00,48.315,25.849,4328.457,1490,116.121
13684,2006-06-02 20:30:00,49.803,26.044,5062.145,1091,25.189
13811,2006-06-04 04:30:00,51.721,22.601,920.604,273,22.597
15128,2006-06-17 10:30:00,49.593,21.245,32.238,13,117.195
15316,2006-06-19 10:30:00,46.831,23.680,252.055,87,79.702
15330,2006-06-19 13:30:00,47.587,15.406,70.558,17,265.655
15429,2006-06-20 11:30:00,47.686,20.884,491.311,97,158.296
15555,2006-06-21 11:30:00,51.878,15.916,410.712,132,25.478
15585,2006-06-21 16:30:00,50.412,15.422,375.444,110,47.635
15668,2006-06-22 09:30:00,49.400,20.338,26.522,8,70.033
15691,2006-06-22 14:30:00,49.204,21.202,2194.443,607,196.078
15777,2006-06-23 09:30:00,50.659,21.474,50.985,20,196.558
15847,2006-06-24 04:30:00,52.317,27.611,33.266,12,25.300
16092,2006-06-26 11:30:00,47.850,15.950,1.528,1,7.847
16174,2006-06-27 04:30:00,49.736,21.549,1318.656,199,96.553
16467,2006-06-30 08:30:00,49.384,23.010,246.440,65,100.024
17159,2006-07-08 12:30:00,50.971,17.154,439.267,133,25.008
17534,2006-07-12 11:30:00,54.790,25.871,152.358,64,98.701
17704,2006-07-14 10:30:00,49.014,15.872,969.176,229,186.048
17752,2006-07-14 21:30:00,53.481,24.778,59.572,31,157.995
18697,2006-07-25 05:30:00,54.655,29.028,490.488,203,105.218
19189,2006-07-30 06:30:00,50.494,25.958,519.826,151,338.560
19715,2006-08-04 23:30:00,53.645,26.563,1303.441,271,4.250
19913,2006-08-07 07:30:00,47.897,26.846,7.505,6,55.260
20577,2006-08-13 22:30:00,53.095,23.958,82.719,37,159.887
20703,2006-08-15 09:30:00,51.432,24.197,259.786,101,69.187
20731,2006-08-15 15:30:00,49.958,27.464,1286.266,225,42.000
21008,2006-08-18 11:30:00,52.125,19.490,49.231,18,60.982
21207,2006-08-20 12:30:00,49.803,23.500,270.783,72,3.203
21212,2006-08-20 14:30:00,48.215,16.630,2016.961,587,36.010
21259,2006-08-21 00:30:00,51.865,26.935,330.274,74,98.365
21300,2006-08-21 10:30:00,52.983,29.701,2743.996,450,81.903
21401,2006-08-22 10:30:00,48.480,23.005,239.673,78,78.646
21744,2006-08-25 20:30:00,52.502,20.692,232.900,84,315.543
21782,2006-08-26 06:30:00,48.588,23.354,65.512,35,21.572
21974,2006-08-28 04:30:00,47.767,20.548,5.343,5,292.669
22975,2006-09-07 15:30:00,53.168,15.915,59.296,26,60.674
24163,2006-09-19 21:30:00,54.513,21.264,65.893,34,31.081
24872,2006-09-27 21:30:00,54.190,16.562,227.296,76,80.381
11496,2007-05-05 15:30:00,47.239,19.878,563.500,147,67.927
11592,2007-05-06 13:30:00,47.396,23.172,113.621,50,5.135
12318,2007-05-14 12:30:00,51.050,16.279,4.509,2,43.009
12414,2007-05-15 12:30:00,47.231,16.104,3167.501,822,33.532
13108,2007-05-22 11:30:00,54.412,25.136,53.347,13,53.286
13197,2007-05-23 11:30:00,46.001,26.953,77.512,22,270.284
13416,2007-05-25 10:30:00,48.795,24.690,31.828,16,265.674
13509,2007-05-26 09:30:00,50.423,17.001,239.186,53,48.652
13513,2007-05-26 10:30:00,48.086,24.741,20.273,9,209.310
13529,2007-05-26 13:30:00,47.050,28.349,3.273,3,319.499
13616,2007-05-27 10:30:00,48.579,21.547,61.745,33,150.538
13622,2007-05-27 11:30:00,53.278,23.756,16.452,6,356.174
13627,2007-05-27 12:30:00,54.502,17.923,238.515,48,27.319
13733,2007-05-28 10:30:00,48.335,24.660,51.321,20,42.626
13818,2007-05-29 04:30:00,54.385,25.488,542.939,88,327.779
13840,2007-05-29 09:30:00,54.317,19.286,26.739,15,44.176
13844,2007-05-29 10:30:00,50.137,24.056,463.049,152,349.224
13876,2007-05-29 16:30:00,54.181,24.154,1953.636,381,333.489
14058,2007-05-31 07:30:00,54.429,25.649,690.547,111,336.936
14283,2007-06-02 14:30:00,50.068,26.046,4898.532,808,303.182
14572,2007-06-05 12:30:00,49.318,18.989,70.684,43,184.936
15006,2007-06-09 08:30:00,52.679,15.927,16.013,9,134.485
15066,2007-06-09 21:30:00,51.571,21.848,64.860,46,74.525
15113,2007-06-10 08:30:00,49.070,20.328,4.870,4,71.529
15147,2007-06-10 14:30:00,51.972,27.932,347.159,184,233.897
15234,2007-06-11 09:30:00,51.987,29.889,33.443,7,57.437
15445,2007-06-13 12:30:00,53.864,22.839,154.112,67,61.103
15791,2007-06-16 11:30:00,54.402,18.690,1268.879,328,90.944
15884,2007-06-17 06:30:00,49.312,26.970,214.603,74,215.156
15898,2007-06-17 10:30:00,48.453,28.332,50.333,17,30.937
16125,2007-06-19 11:30:00,48.918,21.385,32.603,14,101.380
16372,2007-06-21 22:30:00,46.348,22.042,1598.038,510,116.908
16509,2007-06-23 08:30:00,48.669,23.382,23.457,6,96.702
16806,2007-06-26 14:30:00,50.310,29.200,1268.520,311,133.596
16856,2007-06-27 03:30:00,47.110,26.664,16.232,11,198.669
17346,2007-07-02 12:30:00,52.058,15.505,922.858,390,146.403
17385,2007-07-03 01:30:00,52.497,23.450,3.777,2,334.400
17446,2007-07-03 17:30:00,53.980,25.779,1782.501,674,122.889
17515,2007-07-04 10:30:00,49.897,27.679,231.803,85,64.737
17972,2007-07-09 16:30:00,50.700,20.571,1811.948,522,91.181
17991,2007-07-09 18:30:00,48.516,17.215,1760.534,358,58.464
18057,2007-07-10 10:30:00,49.893,24.115,125.948,67,114.044
18219,2007-07-12 09:30:00,53.738,29.058,867.378,200,343.572
18801,2007-07-18 12:30:00,53.369,28.630,253.910,52,60.143
18932,2007-07-19 18:30:00,50.266,21.753,147.158,49,78.219
19002,2007-07-20 13:30:00,49.978,18.287,23.975,14,34.534
19113,2007-07-21 15:30:00,52.262,24.317,314.493,96,104.127
19868,2007-07-28 22:30:00,53.555,24.035,836.549,311,82.570
20075,2007-07-30 21:30:00,46.638,23.253,876.044,313,61.960
20907,2007-08-09 03:30:00,51.851,28.253,115.930,37,278.955
20960,2007-08-09 14:30:00,54.764,21.527,725.933,127,334.809
21026,2007-08-10 10:30:00,51.240,17.558,231.783,51,275.270
21037,2007-08-10 13:30:00,53.507,18.971,82.521,45,268.429
21129,2007-08-11 12:30:00,51.242,24.495,84.358,39,307.670
21228,2007-08-12 13:30:00,49.256,29.820,263.729,74,333.061
21775,2007-08-18 16:30:00,47.771,25.926,161.703,82,159.681
21895,2007-08-19 23:30:00,51.392,15.627,375.435,134,168.401
21990,2007-08-20 21:30:00,49.048,19.907,2854.536,763,139.381
22053,2007-08-21 12:30:00,53.557,21.884,920.356,208,328.547
22060,2007-08-21 13:30:00,51.186,19.447,130.340,55,77.665
22275,2007-08-23 17:30:00,48.526,15.945,55.395,34,142.498
22291,2007-08-23 20:30:00,53.554,20.523,445.009,97,54.895
22307,2007-08-24 00:30:00,52.326,15.467,1409.159,449,351.972
22885,2007-08-29 13:30:00,46.704,16.346,620.860,238,84.437
23811,2007-09-07 10:30:00,51.168,28.382,134.420,31,21.014
23853,2007-09-07 20:30:00,50.567,26.805,12.506,9,239.416
12748,2008-05-16 12:30:00,49.166,20.084,73.863,23,310.576
12815,2008-05-17 11:30:00,51.628,28.897,658.161,191,111.054
12936,2008-05-18 16:30:00,47.282,20.970,1511.608,412,39.314
12964,2008-05-18 22:30:00,46.986,23.555,2672.258,861,41.097
13017,2008-05-19 13:30:00,50.572,24.073,1414.261,224,48.208
13276,2008-05-21 22:30:00,48.598,28.110,454.150,225,208.462
13323,2008-05-22 12:30:00,50.487,28.615,938.971,295,8.970
13418,2008-05-23 11:30:00,53.082,29.329,73.740,20,107.473
14285,2008-06-01 12:30:00,47.471,15.983,4.822,3,300.098
15276,2008-06-11 08:30:00,47.450,16.104,3.498,2,268.068
15278,2008-06-11 09:30:00,49.413,16.043,316.107,77,70.800
15386,2008-06-12 10:30:00,49.839,27.863,48.511,17,68.485
15957,2008-06-18 10:30:00,46.699,21.326,102.261,23,69.459
16462,2008-06-23 11:30:00,49.897,23.756,2106.943,338,122.499
16494,2008-06-23 16:30:00,48.878,23.798,1253.658,305,138.416
16919,2008-06-27 14:30:00,49.792,22.825,987.692,165,87.853
17929,2008-07-07 13:30:00,48.320,17.720,553.010,135,67.568
18568,2008-07-13 17:30:00,54.364,27.398,2371.779,310,40.616
18690,2008-07-14 18:30:00,49.449,24.104,6191.453,1462,54.703
18701,2008-07-14 21:30:00,52.887,27.939,3602.936,765,22.529
19424,2008-07-21 13:30:00,49.475,26.960,431.724,165,23.987
19653,2008-07-23 17:30:00,48.702,29.141,1234.011,367,236.810
19813,2008-07-25 10:30:00,50.877,26.174,616.832,175,270.043
19827,2008-07-25 12:30:00,47.636,29.060,295.188,97,335.778
21222,2008-08-08 18:30:00,46.321,21.476,180.628,54,28.943
