track_number,datetime,center_lat,center_lon,total_precip,area,angle_of_movement
13738,2007-05-28 11:30:00,43.518,22.553,30.524,20,21.443
14221,2007-06-01 23:30:00,44.165,14.392,235.399,40,15.754
14436,2007-06-04 08:30:00,42.722,22.186,13.607,6,309.509
14772,2007-06-07 11:30:00,43.112,18.967,21.310,12,304.419
16468,2007-06-22 22:30:00,45.350,18.850,1.079,1,294.336
16486,2007-06-23 03:30:00,45.728,22.941,1218.051,219,92.995
18085,2007-07-10 15:30:00,44.821,22.788,33.423,13,18.321
20940,2007-08-09 10:30:00,44.131,15.446,195.322,45,56.681
21034,2007-08-10 12:30:00,44.221,19.764,57.870,18,48.989
21049,2007-08-10 16:30:00,45.516,16.987,511.657,159,63.949
21115,2007-08-11 10:30:00,45.661,21.791,116.963,53,130.642
21844,2007-08-19 10:30:00,45.505,25.365,10.478,5,342.784
22113,2007-08-21 23:30:00,44.962,15.060,102.495,41,24.860
23036,2007-08-30 21:30:00,45.735,25.529,1443.094,603,84.072
23120,2007-08-31 18:30:00,43.272,25.463,158.078,24,77.284
23157,2007-09-01 07:30:00,43.991,25.311,19.589,14,303.308
23235,2007-09-01 22:30:00,41.988,24.915,683.739,229,263.363
23758,2007-09-06 18:30:00,42.127,16.508,280.837,98,179.422
23863,2007-09-08 00:30:00,43.157,24.849,145.525,93,62.557
25021,2007-09-19 09:30:00,42.866,18.449,190.232,34,100.984
25908,2007-09-28 08:30:00,43.030,18.728,1875.921,247,55.894
12865,2008-05-18 00:30:00,45.337,14.780,1278.710,379,208.815
12997,2008-05-19 09:30:00,38.916,14.582,133.870,24,7.552
13018,2008-05-19 13:30:00,45.901,21.298,187.744,60,13.599
13115,2008-05-20 10:30:00,44.128,20.301,4.871,4,342.517
13135,2008-05-20 15:30:00,44.000,16.272,6.285,3,39.764
13226,2008-05-21 12:30:00,43.467,24.754,401.390,124,299.194
14400,2008-06-02 13:30:00,45.703,14.418,1490.132,533,117.983
14486,2008-06-03 08:30:00,42.621,18.910,75.904,34,319.135
15438,2008-06-12 22:30:00,41.764,17.539,399.134,145,113.606
15471,2008-06-13 10:30:00,43.297,25.994,876.858,306,320.623
15487,2008-06-13 14:30:00,42.395,24.208,38.611,12,89.636
15992,2008-06-18 18:30:00,45.341,23.167,567.267,159,96.195
16901,2008-06-27 10:30:00,44.103,17.503,2.134,2,343.767
17617,2008-07-04 09:30:00,45.871,15.754,5.671,4,142.280
17615,2008-07-04 10:30:00,42.938,21.649,10.164,7,39.000
17654,2008-07-04 16:30:00,42.666,20.841,906.694,340,21.153
18078,2008-07-08 22:30:00,44.470,25.038,585.130,164,97.163
19515,2008-07-22 10:30:00,43.299,19.317,207.799,54,183.020
21192,2008-08-08 12:30:00,44.679,16.781,502.551,155,97.597
22751,2008-08-23 18:30:00,45.826,18.640,349.469,104,30.154
24723,2008-09-12 12:30:00,43.435,19.352,125.001,27,84.594
24783,2008-09-13 05:30:00,41.750,15.601,2.096,2,207.902
24893,2008-09-14 09:30:00,39.172,14.208,2388.771,504,92.091
24958,2008-09-15 06:30:00,40.510,19.813,6917.421,1260,148.446
25012,2008-09-15 14:30:00,38.483,22.210,3771.374,514,24.941
12480,2009-05-13 09:30:00,42.130,25.828,214.701,63,151.565
12773,2009-05-16 07:30:00,38.612,17.923,773.593,331,221.326
12894,2009-05-17 10:30:00,41.954,23.772,33.040,20,269.946
13589,2009-05-24 12:30:00,42.767,20.400,17.880,14,119.189
14386,2009-06-01 23:30:00,43.436,14.134,102.508,32,309.032
15109,2009-06-10 09:30:00,45.899,22.176,50.015,25,45.654
15141,2009-06-10 16:30:00,45.967,19.203,220.532,124,101.658
16224,2009-06-21 02:30:00,40.125,15.977,197.839,64,117.894
16307,2009-06-21 21:30:00,40.265,20.718,42.384,26,302.853
16549,2009-06-24 05:30:00,41.069,22.815,7.883,5,58.377
17196,2009-06-30 09:30:00,40.450,23.716,2.305,2,289.613
17732,2009-07-05 11:30:00,41.985,14.523,1018.979,312,326.797
18050,2009-07-08 11:30:00,44.848,18.677,28.681,13,90.626
18291,2009-07-11 02:30:00,42.293,19.059,54.006,19,281.322
18318,2009-07-11 09:30:00,41.870,22.995,36.805,24,78.040
19690,2009-07-25 20:30:00,44.240,24.615,552.531,125,82.837
21140,2009-08-11 08:30:00,43.897,19.715,15.673,9,121.263
22961,2009-08-29 12:30:00,44.775,16.662,49.008,19,68.221
23035,2009-08-30 03:30:00,42.186,14.564,97.810,21,88.328
23620,2009-09-05 05:30:00,43.334,17.741,58.129,29,141.231
23699,2009-09-05 22:30:00,41.233,19.422,10.317,7,183.963
25397,2009-09-24 17:30:00,39.152,16.537,447.250,136,181.436
25491,2009-09-25 14:30:00,38.097,17.756,88.235,28,43.458
11098,2010-05-05 17:30:00,38.298,18.875,290.688,139,9.390
11202,2010-05-06 13:30:00,45.555,21.568,5388.804,1560,11.426
11779,2010-05-12 10:30:00,45.991,19.452,141.888,26,55.557
11791,2010-05-12 13:30:00,43.487,23.925,52.514,32,63.647
11873,2010-05-13 12:30:00,43.128,22.889,46.638,17,73.320
13103,2010-05-27 17:30:00,45.255,18.274,265.345,59,57.926
13908,2010-06-05 00:30:00,38.114,22.002,251.158,100,41.010
14699,2010-06-13 19:30:00,44.825,19.366,461.013,82,54.811
14789,2010-06-14 16:30:00,45.209,22.088,624.591,112,67.004
14863,2010-06-15 11:30:00,41.662,24.708,39.192,16,321.885
14966,2010-06-16 11:30:00,44.753,18.412,121.225,16,75.437
15070,2010-06-17 14:30:00,45.967,15.234,638.445,124,56.516
15103,2010-06-18 01:30:00,45.719,16.537,84.499,27,60.860
15284,2010-06-20 00:30:00,44.969,25.388,1674.979,297,183.105
15413,2010-06-21 05:30:00,43.026,18.466,2085.790,404,130.986
16297,2010-06-30 13:30:00,43.793,21.858,439.443,118,311.909
18786,2010-07-24 10:30:00,44.483,17.801,284.579,46,97.527
20152,2010-08-06 15:30:00,45.013,22.154,2338.468,576,15.805
20770,2010-08-12 20:30:00,45.765,20.154,49.002,31,15.002
23402,2010-09-09 03:30:00,40.333,13.891,844.095,166,119.578
24369,2010-09-18 14:30:00,45.979,13.890,1297.834,363,136.674
11523,2011-05-02 18:30:00,38.577,17.231,1427.502,496,130.136
11552,2011-05-03 01:30:00,40.486,18.111,1230.912,381,94.766
13562,2011-05-24 10:30:00,43.396,22.306,103.541,28,289.767
