time_minus12h,time_minus6h,time_0h,time_plus6h,time_plus12h,center_lat,center_lon,track_number,total_precip,area,wt
2007-02-23 12:30:00,2007-02-23 18:30:00,2007-02-24 00:30:00,2007-02-24 06:30:00,2007-02-24 12:30:00,44.67956,3.1701872,4697,429.65503,823,
2007-02-24 23:30:00,2007-02-25 05:30:00,2007-02-25 11:30:00,2007-02-25 17:30:00,2007-02-25 23:30:00,44.4496,4.7388678,4843,2864.4014,4273,
2007-03-30 04:30:00,2007-03-30 10:30:00,2007-03-30 16:30:00,2007-03-30 22:30:00,2007-03-31 04:30:00,48.943302,7.086745,7984,264.2906,138,
2007-05-25 00:30:00,2007-05-25 06:30:00,2007-05-25 12:30:00,2007-05-25 18:30:00,2007-05-26 00:30:00,46.068134,7.952015,13420,16.254467,16,
2007-05-25 18:30:00,2007-05-26 00:30:00,2007-05-26 06:30:00,2007-05-26 12:30:00,2007-05-26 18:30:00,45.374184,7.639831,13496,367.33813,361,
2007-06-04 23:30:00,2007-06-05 05:30:00,2007-06-05 11:30:00,2007-06-05 17:30:00,2007-06-05 23:30:00,43.676052,6.519938,14565,11.901707,25,
2007-06-10 00:30:00,2007-06-10 06:30:00,2007-06-10 12:30:00,2007-06-10 18:30:00,2007-06-11 00:30:00,47.11019,4.1650753,15139,15.453365,12,
2007-06-20 14:30:00,2007-06-20 20:30:00,2007-06-21 02:30:00,2007-06-21 08:30:00,2007-06-21 14:30:00,46.12347,5.0745735,16295,780.55115,222,
2007-07-18 10:30:00,2007-07-18 16:30:00,2007-07-18 22:30:00,2007-07-19 04:30:00,2007-07-19 10:30:00,46.383766,3.3586674,18846,183.63654,88,
2007-07-19 02:30:00,2007-07-19 08:30:00,2007-07-19 14:30:00,2007-07-19 20:30:00,2007-07-20 02:30:00,45.946045,3.7605553,18918,98.642685,44,
2007-07-20 02:30:00,2007-07-20 08:30:00,2007-07-20 14:30:00,2007-07-20 20:30:00,2007-07-21 02:30:00,45.883636,6.3566413,19006,302.88657,110,
2007-07-21 01:30:00,2007-07-21 07:30:00,2007-07-21 13:30:00,2007-07-21 19:30:00,2007-07-22 01:30:00,47.02301,7.7841005,19105,45.671566,17,
2007-08-07 23:30:00,2007-08-08 05:30:00,2007-08-08 11:30:00,2007-08-08 17:30:00,2007-08-08 23:30:00,45.66039,7.9330454,20854,2053.194,1307,
2007-08-19 21:30:00,2007-08-20 03:30:00,2007-08-20 09:30:00,2007-08-20 15:30:00,2007-08-20 21:30:00,45.10482,7.8798685,21941,25.37352,116,
2008-01-14 07:30:00,2008-01-14 13:30:00,2008-01-14 19:30:00,2008-01-15 01:30:00,2008-01-15 07:30:00,43.746086,6.719794,1189,2069.0298,1094,
2008-01-26 13:30:00,2008-01-26 19:30:00,2008-01-27 01:30:00,2008-01-27 07:30:00,2008-01-27 13:30:00,45.53948,7.0733657,2281,15.355586,27,
2008-04-10 01:30:00,2008-04-10 07:30:00,2008-04-10 13:30:00,2008-04-10 19:30:00,2008-04-11 01:30:00,45.642094,4.015931,9218,286.11523,100,
2008-04-13 18:30:00,2008-04-14 00:30:00,2008-04-14 06:30:00,2008-04-14 12:30:00,2008-04-14 18:30:00,44.63385,6.9564433,9662,790.4749,1100,
