time_minus12h,time_minus6h,time_0h,time_plus6h,time_plus12h,center_lat,center_lon,track_number,total_precip,area,wt
2007-06-01 03:30:00,2007-06-01 09:30:00,2007-06-01 15:30:00,2007-06-01 21:30:00,2007-06-02 03:30:00,44.64574,12.749113,14194,1231.8826,417,
2007-08-07 23:30:00,2007-08-08 05:30:00,2007-08-08 11:30:00,2007-08-08 17:30:00,2007-08-08 23:30:00,44.00391,11.166021,20855,43.41522,33,
2007-08-23 01:30:00,2007-08-23 07:30:00,2007-08-23 13:30:00,2007-08-23 19:30:00,2007-08-24 01:30:00,45.11033,12.501589,22258,1611.9462,1236,
2007-08-28 06:30:00,2007-08-28 12:30:00,2007-08-28 18:30:00,2007-08-29 00:30:00,2007-08-29 06:30:00,45.819267,11.720524,22817,554.27325,438,
2007-08-29 15:30:00,2007-08-29 21:30:00,2007-08-30 03:30:00,2007-08-30 09:30:00,2007-08-30 15:30:00,45.685486,8.60559,22962,162.12695,43,
2007-09-25 13:30:00,2007-09-25 19:30:00,2007-09-26 01:30:00,2007-09-26 07:30:00,2007-09-26 13:30:00,45.62502,12.329019,25700,49.969177,15,
2007-11-14 20:30:00,2007-11-15 02:30:00,2007-11-15 08:30:00,2007-11-15 14:30:00,2007-11-15 20:30:00,44.13198,9.272845,30488,6.3514643,35,
2007-11-23 04:30:00,2007-11-23 10:30:00,2007-11-23 16:30:00,2007-11-23 22:30:00,2007-11-24 04:30:00,45.20065,9.844059,31226,561.311,287,
2007-11-24 03:30:00,2007-11-24 09:30:00,2007-11-24 15:30:00,2007-11-24 21:30:00,2007-11-25 03:30:00,44.578815,9.260288,31302,482.2425,105,
2008-01-12 06:30:00,2008-01-12 12:30:00,2008-01-12 18:30:00,2008-01-13 00:30:00,2008-01-13 06:30:00,45.337845,11.847783,1012,2199.899,2524,
2008-03-04 23:30:00,2008-03-05 05:30:00,2008-03-05 11:30:00,2008-03-05 17:30:00,2008-03-05 23:30:00,43.76006,10.421259,5655,86.808624,495,
2008-06-13 10:30:00,2008-06-13 16:30:00,2008-06-13 22:30:00,2008-06-14 04:30:00,2008-06-14 10:30:00,44.492638,9.382716,15525,47.907814,25,
2008-07-29 02:30:00,2008-07-29 08:30:00,2008-07-29 14:30:00,2008-07-29 20:30:00,2008-07-30 02:30:00,45.985718,11.311642,20232,40.03474,45,
2008-09-11 19:30:00,2008-09-12 01:30:00,2008-09-12 07:30:00,2008-09-12 13:30:00,2008-09-12 19:30:00,45.415207,9.112109,24704,143.9762,49,
2008-12-10 07:30:00,2008-12-10 13:30:00,2008-12-10 19:30:00,2008-12-11 01:30:00,2008-12-11 07:30:00,45.41447,11.44297,33112,4662.1772,4275,
2009-01-06 17:30:00,2009-01-06 23:30:00,2009-01-07 05:30:00,2009-01-07 11:30:00,2009-01-07 17:30:00,45.758812,9.149748,661,49.220337,935,
2009-03-04 02:30:00,2009-03-04 08:30:00,2009-03-04 14:30:00,2009-03-04 20:30:00,2009-03-05 02:30:00,45.0343,12.643942,5869,2165.1943,1597,
2009-05-27 02:30:00,2009-05-27 08:30:00,2009-05-27 14:30:00,2009-05-27 20:30:00,2009-05-28 02:30:00,44.390053,12.444537,13874,251.24141,112,
2009-07-06 14:30:00,2009-07-06 20:30:00,2009-07-07 02:30:00,2009-07-07 08:30:00,2009-07-07 14:30:00,45.861385,9.132276,17910,140.82394,103,
2009-08-10 06:30:00,2009-08-10 12:30:00,2009-08-10 18:30:00,2009-08-11 00:30:00,2009-08-11 06:30:00,45.894573,12.938406,21084,832.9898,420,
2009-10-08 15:30:00,2009-10-08 21:30:00,2009-10-09 03:30:00,2009-10-09 09:30:00,2009-10-09 15:30:00,44.806694,8.650017,26674,3.7903793,10,
2009-11-30 04:30:00,2009-11-30 10:30:00,2009-11-30 16:30:00,2009-11-30 22:30:00,2009-12-01 04:30:00,44.399525,10.73189,31401,4622.7173,5045,
2009-12-07 05:30:00,2009-12-07 11:30:00,2009-12-07 17:30:00,2009-12-07 23:30:00,2009-12-08 05:30:00,45.65737,10.958265,31984,588.577,706,
2009-12-18 05:30:00,2009-12-18 11:30:00,2009-12-18 17:30:00,2009-12-18 23:30:00,2009-12-19 05:30:00,44.200684,9.897279,32985,100.00379,88,
2010-01-16 17:30:00,2010-01-16 23:30:00,2010-01-17 05:30:00,2010-01-17 11:30:00,2010-01-17 17:30:00,43.93405,12.999444,1491,815.9367,5330,
2010-02-25 22:30:00,2010-02-26 04:30:00,2010-02-26 10:30:00,2010-02-26 16:30:00,2010-02-26 22:30:00,44.28389,12.667916,4750,709.17883,129,
2010-03-30 01:30:00,2010-03-30 07:30:00,2010-03-30 13:30:00,2010-03-30 19:30:00,2010-03-31 01:30:00,44.769497,8.254662,7606,2751.0413,778,
2010-05-04 05:30:00,2010-05-04 11:30:00,2010-05-04 17:30:00,2010-05-04 23:30:00,2010-05-05 05:30:00,45.117733,9.923758,11001,760.1821,262,
2010-05-05 11:30:00,2010-05-05 17:30:00,2010-05-05 23:30:00,2010-05-06 05:30:00,2010-05-06 11:30:00,45.92027,11.904112,11133,144.60461,122,
2010-05-28 22:30:00,2010-05-29 04:30:00,2010-05-29 10:30:00,2010-05-29 16:30:00,2010-05-29 22:30:00,45.679028,11.101811,13275,12.424446,20,
2010-06-18 22:30:00,2010-06-19 04:30:00,2010-06-19 10:30:00,2010-06-19 16:30:00,2010-06-19 22:30:00,45.989838,8.565323,15227,233.95815,111,
2010-08-12 06:30:00,2010-08-12 12:30:00,2010-08-12 18:30:00,2010-08-13 00:30:00,2010-08-13 06:30:00,45.07092,11.074983,20762,148.38708,71,
2010-08-12 12:30:00,2010-08-12 18:30:00,2010-08-13 00:30:00,2010-08-13 06:30:00,2010-08-13 12:30:00,44.560596,9.174596,20787,177.32095,37,
2010-08-14 09:30:00,2010-08-14 15:30:00,2010-08-14 21:30:00,2010-08-15 03:30:00,2010-08-15 09:30:00,43.86863,12.728135,20965,61.809048,65,
2010-11-18 09:30:00,2010-11-18 15:30:00,2010-11-18 21:30:00,2010-11-19 03:30:00,2010-11-19 09:30:00,44.878376,12.714168,29924,552.4059,171,
2010-12-01 09:30:00,2010-12-01 15:30:00,2010-12-01 21:30:00,2010-12-02 03:30:00,2010-12-02 09:30:00,43.328285,10.851068,31237,470.63907,322,
2010-12-02 17:30:00,2010-12-02 23:30:00,2010-12-03 05:30:00,2010-12-03 11:30:00,2010-12-03 17:30:00,43.877407,10.70145,31361,161.50453,54,
2010-12-07 19:30:00,2010-12-08 01:30:00,2010-12-08 07:30:00,2010-12-08 13:30:00,2010-12-08 19:30:00,45.140537,9.401896,31798,585.9851,778,
2011-06-03 23:30:00,2011-06-04 05:30:00,2011-06-04 11:30:00,2011-06-04 17:30:00,2011-06-04 23:30:00,43.07488,11.406387,14650,5.1011105,16,
2011-06-30 22:30:00,2011-07-01 04:30:00,2011-07-01 10:30:00,2011-07-01 16:30:00,2011-07-01 22:30:00,43.67745,11.120079,17154,212.56787,53,
2011-07-04 10:30:00,2011-07-04 16:30:00,2011-07-04 22:30:00,2011-07-05 04:30:00,2011-07-05 10:30:00,45.200226,10.557881,17520,564.47614,154,
2011-09-18 09:30:00,2011-09-18 15:30:00,2011-09-18 21:30:00,2011-09-19 03:30:00,2011-09-19 09:30:00,45.232456,11.269,24507,2756.2012,1760,
2011-12-17 16:30:00,2011-12-17 22:30:00,2011-12-18 04:30:00,2011-12-18 10:30:00,2011-12-18 16:30:00,43.66652,8.359237,32789,4.5010586,9,
